17,13,2,2,2,2,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,P,,,,,,B,B,B,,,E,,,,W
W,,W,B,W,B,W,W,,W,W,B,W,B,W,,W
W,,B,,B,,,,B,,,,B,,B,,W
W,B,W,,,W,,E,,E,,W,,,W,B,W
W,,,W,,,W,,B,,W,,,W,,,W
W,,,W,,E,,W,D,W,,E,,W,,,W
W,,,W,,,W,,B,,W,,,W,,,W
W,B,W,,,W,,E,,E,,W,,,W,B,W
W,,B,,B,,,,B,,,,B,,B,,W
W,,W,B,W,B,W,W,,W,W,B,W,B,W,,W
W,,,,,,,B,B,B,,,E,,,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,key:,,,,,,,,,,,,,,,
,level width,,,,,,P,E,B,,,,,,,
,level height,,,,,,D,W,,,,,,,,
,background gfx,,,,,,,,,,,,,,,
,wall gfx,,,,,,,,,,,,,,,
,breakable gfx,,,,,,,,,,,,,,,
,enemy gfx,,,,,,,,,,,,,,,
