17,13,1,1,1,2,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,,,E,B,,,,,,E,,B,,,,W
W,B,W,W,W,W,W,W,W,W,W,W,W,B,B,B,W
W,,,P,,B,,B,,B,,B,E,B,W,,W
W,,,,B,,B,,B,E,B,,B,,W,E,W
W,B,B,W,W,W,W,W,W,W,W,W,W,B,B,B,W
W,,W,,,B,E,,B,,,B,,,W,,W
W,,W,,,B,,,B,,,B,E,,W,,W
W,B,B,W,W,W,W,W,W,W,W,W,W,W,B,B,W
W,,,,,,B,B,B,E,,,,,W,E,W
W,B,B,B,B,B,,,,B,B,B,B,B,D,,W
W,,E,,B,B,,,,B,B,,,,B,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,key:,,,,,,,,,,,,,,,
A,level width,,,,,,P,E,B,,,,,,,
B,level height,,,,,,D,W,,,,,,,,
C,background gfx,,,,,,,,,,,,,,,
D,wall gfx,,,,,,,,,,,,,,,
E,breakable gfx,,,,,,,,,,,,,,,
F,enemy gfx,,,,,,,,,,,,,,,
