17,13,1,1,1,1,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,P,,,B,,,,W,,,,,,,,W
W,,B,B,,,,,B,E,,,,B,D,,W
W,,B,W,,,,,W,,,,,W,B,,W
W,B,,,,,B,,,,B,,,,,,W
W,,,,W,W,,,W,,,W,W,,,,W
W,,B,,,E,,,W,,B,,E,B,B,E,W
W,,W,,,,,,W,,B,,,B,W,,W
W,,W,,W,W,,,,,,W,W,,W,,W
W,W,B,B,E,,B,,W,,B,,,,B,W,W
W,,,B,,,B,,B,,W,,,,,,W
W,,,B,,,B,,W,,,,,,E,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,key:,,,,,,,,,,,,,,,
,level width,,,,,,,,,,,,,,,
,level height,,,,,,,,,,,,,,,
,background gfx,,,,,,,,,,,,,,,
,wall gfx,,,,,,,,,,,,,,,
,breakable gfx,,,,,,,,,,,,,,,
,enemy gfx,,,,,,,,,,,,,,,
