17,13,2,1,1,3,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,B,B,,,,,,B,,,E,,,B,D,W
W,B,,W,W,B,B,B,W,B,B,B,W,W,,B,W
W,,,B,,E,,,W,,,,,B,,,W
W,,,B,,W,B,W,W,W,B,W,,B,,,W
W,,,B,,B,,,,,,B,,B,,E,W
W,B,W,W,W,W,,,P,,,W,W,W,W,B,W
W,,,B,,B,,,,,,B,,B,,,W
W,E,,B,,W,B,W,W,W,B,W,,B,,,W
W,,,B,,,,,W,,,E,,B,,,W
W,B,,W,W,B,B,B,W,B,B,B,W,W,,B,W
W,B,B,,,E,,,B,,,,,,B,B,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,key:,,,,,,,,,,,,,,,
A,level width,,,,,,P,E,B,,,,,,,
B,level height,,,,,,D,W,,,,,,,,
C,background gfx,,,,,,,,,,,,,,,
D,wall gfx,,,,,,,,,,,,,,,
E,breakable gfx,,,,,,,,,,,,,,,
F,enemy gfx,,,,,,,,,,,,,,,
